FILE_VERSION	2.0.0
NO_OF_FRAMES	30000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
DESCRIPTION	--
TIME_STAMP	2025-11-05, 17:26:47.237	228970.38260560
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
-74.894	3.944	234.297
-72.379	3.910	234.039
-69.885	3.858	233.819
-67.472	3.712	233.522
-65.030	3.571	233.322
-62.504	3.626	233.054
-60.055	3.396	232.868
-57.557	3.353	232.680
-55.051	3.310	232.487
-52.597	3.266	232.266
-50.106	3.134	232.109
-47.654	3.035	231.911
-45.039	3.049	231.820
-42.554	3.019	231.624
-40.025	2.858	231.495
-37.512	2.944	231.340
-35.014	2.747	231.219
-32.567	2.426	231.045
-30.016	2.442	230.940
-27.562	2.433	230.795
-24.958	2.508	230.782
-22.411	2.410	230.698
-19.878	2.313	230.643
-17.377	2.300	230.538
-14.894	2.081	230.479
-12.366	2.030	230.371
-9.831	2.187	230.455
-7.269	1.922	230.332
-4.759	1.742	230.278
-2.216	1.919	230.306
0.318	1.813	230.383
2.873	1.621	230.308
5.395	1.635	230.305
7.969	1.480	230.244
10.472	1.355	230.257
13.014	1.345	230.354
15.568	1.285	230.386
18.077	1.269	230.427
20.644	1.195	230.495
23.121	0.995	230.533
25.725	0.880	230.565
28.231	0.850	230.693
30.755	0.610	230.729
33.301	0.790	230.877
35.814	0.635	230.969
38.337	0.413	231.054
40.843	0.430	231.198
43.374	0.357	231.313
45.839	0.227	231.451
48.403	0.312	231.642
50.933	0.300	231.781
53.416	0.141	231.930
55.853	0.099	232.152
58.399	0.131	232.333
60.863	0.012	232.548
63.305	-0.245	232.690
65.861	-0.230	232.930
68.342	-0.186	233.114
70.820	-0.337	233.418
73.280	-0.581	233.607
75.716	-0.470	233.884
78.183	-0.513	234.068
80.657	-0.640	234.401
83.133	-0.475	234.671
85.523	-0.524	234.995
87.955	-0.855	235.261
90.415	-0.749	235.524
92.847	-0.736	235.827
95.224	-0.914	236.090
97.591	-1.043	236.461
100.019	-1.053	236.754
102.414	-1.055	237.067
104.787	-1.170	237.460
107.212	-1.244	237.745
109.564	-1.294	238.145
111.939	-1.201	238.493
114.268	-1.272	238.839
116.639	-1.520	239.200
